STATION,STATION_NAME,DATE,MLY-PRCP-NORMAL,MLY-SNOW-NORMAL,MLY-SNWD-AVGNDS-GE001WI
GHCND:USC00350694,BEND OR US,201001,1.53,5.6,8.2
GHCND:USC00350694,BEND OR US,201002,1.09,5.8,5.8
GHCND:USC00350694,BEND OR US,201003,0.73,1.6,1.2
GHCND:USC00350694,BEND OR US,201004,0.78,0.4,0.3
GHCND:USC00350694,BEND OR US,201005,0.89,-777.7,0
GHCND:USC00350694,BEND OR US,201006,0.7,0,0
GHCND:USC00350694,BEND OR US,201007,0.56,0,0
GHCND:USC00350694,BEND OR US,201008,0.48,0,0
GHCND:USC00350694,BEND OR US,201009,0.41,0,0
GHCND:USC00350694,BEND OR US,201010,0.6,0.2,0.1
GHCND:USC00350694,BEND OR US,201011,1.39,2.7,2.2
GHCND:USC00350694,BEND OR US,201012,2.2,6.2,8.5
GHCND:USC00350699,BEND 7 NE OR US,201001,1.06,-9999,-9999
GHCND:USC00350699,BEND 7 NE OR US,201002,0.77,-9999,-9999
GHCND:USC00350699,BEND 7 NE OR US,201003,0.64,-9999,-9999
GHCND:USC00350699,BEND 7 NE OR US,201004,0.77,-9999,-9999
GHCND:USC00350699,BEND 7 NE OR US,201005,1.15,-9999,-9999
GHCND:USC00350699,BEND 7 NE OR US,201006,0.84,-9999,-9999
GHCND:USC00350699,BEND 7 NE OR US,201007,0.69,-9999,-9999
GHCND:USC00350699,BEND 7 NE OR US,201008,0.55,-9999,-9999
GHCND:USC00350699,BEND 7 NE OR US,201009,0.54,-9999,-9999
GHCND:USC00350699,BEND 7 NE OR US,201010,0.69,-9999,-9999
GHCND:USC00350699,BEND 7 NE OR US,201011,1.13,-9999,-9999
GHCND:USC00350699,BEND 7 NE OR US,201012,1.13,-9999,-9999
